"sampleid" "activity" "mean" "std"
1 "laying" -0.466464695241624 -0.896699261804485
1 "sitting" -0.487488828495867 -0.962531684925854
1 "standing" -0.516975248009769 -0.986798479817038
1 "walking" -0.0838573459916048 -0.302551798992919
1 "walking_downstairs" -0.0349964672263018 -0.263719603503896
1 "walking_upstairs" -0.202237420225089 -0.428436196561521
2 "laying" -0.50576115791339 -0.980492348554293
2 "sitting" -0.500610030441972 -0.974113940790514
2 "standing" -0.509458925821768 -0.970481596212121
2 "walking" -0.179377744257812 -0.471518668508629
2 "walking_downstairs" -0.0128498425231206 -0.199973200120761
2 "walking_upstairs" -0.155899912507109 -0.385997363253851
3 "laying" -0.495139579001589 -0.973555798352884
3 "sitting" -0.478944112603013 -0.936746787346154
3 "standing" -0.489562657161571 -0.934573756328862
3 "walking" -0.184906847435204 -0.450988754712889
3 "walking_downstairs" -0.106137838485022 -0.35927889525865
3 "walking_upstairs" -0.221951531400878 -0.494763604117052
4 "laying" -0.496494719070863 -0.960841350255892
4 "sitting" -0.484203136101009 -0.951483705307273
4 "standing" -0.478668968631246 -0.931971966691558
4 "walking" -0.227442395283293 -0.556813870101975
4 "walking_downstairs" -0.133335907452141 -0.430345489469064
4 "walking_upstairs" -0.201041619091582 -0.481670281281346
5 "laying" -0.505395795608001 -0.97277492210373
5 "sitting" -0.483921969559625 -0.952403047947934
5 "standing" -0.47296792859664 -0.923529957596862
5 "walking" -0.155142177775656 -0.426550893998593
5 "walking_downstairs" -0.0430847556457143 -0.256359233626873
5 "walking_upstairs" -0.129397913853791 -0.359295474612702
6 "laying" -0.490068230923604 -0.938894773891707
6 "sitting" -0.483739868346573 -0.949510577900826
6 "standing" -0.49552886184261 -0.950810498112706
6 "walking" -0.102949895258251 -0.359321371006842
6 "walking_downstairs" 0.0741041451560101 -0.0757123543931742
6 "walking_upstairs" -0.0890416065711943 -0.290928021342602
7 "laying" -0.495819744578019 -0.951894384892075
7 "sitting" -0.485297754668864 -0.939410998802399
7 "standing" -0.49712229567251 -0.954527409782733
7 "walking" -0.0830516234370202 -0.286082417455657
7 "walking_downstairs" -0.0622407365915023 -0.267075771251554
7 "walking_upstairs" -0.231834766139828 -0.493867277426738
8 "laying" -0.491561903564916 -0.953251137141975
8 "sitting" -0.489469650810414 -0.965444231379447
8 "standing" -0.503983250586588 -0.966665007124242
8 "walking" -0.0628541721995309 -0.258282654667929
8 "walking_downstairs" 0.085966626079681 -0.088038872473445
8 "walking_upstairs" -0.0504608937056763 -0.243298670404065
9 "laying" -0.508050878962618 -0.944242142015576
9 "sitting" -0.480826574001152 -0.928220936999515
9 "standing" -0.488015383285394 -0.950814844363636
9 "walking" -0.153452675501248 -0.420159775816509
9 "walking_downstairs" -0.0601334227732157 -0.264963539122641
9 "walking_upstairs" -0.214015127123996 -0.490629371223921
10 "laying" -0.541823106038124 -0.961084978136364
10 "sitting" -0.502534954340297 -0.971721957250842
10 "standing" -0.48951318794854 -0.953572276081267
10 "walking" -0.0841881981430086 -0.330444040259886
10 "walking_downstairs" -0.000249750597424243 -0.217214895073397
10 "walking_upstairs" -0.0979337190150181 -0.33138123899396
11 "laying" -0.50095320287773 -0.977547759728868
11 "sitting" -0.490523100806718 -0.969903732115495
11 "standing" -0.509348992988923 -0.985657370773694
11 "walking" -0.222529921708447 -0.535503995110734
11 "walking_downstairs" -0.0974925076394664 -0.343943666544796
11 "walking_upstairs" -0.239938669371902 -0.501987017661279
12 "laying" -0.498124792032077 -0.957088102540404
12 "sitting" -0.492143016717083 -0.963695997290553
12 "standing" -0.49414119824769 -0.944561812874814
12 "walking" -0.122791874169958 -0.389277124734909
12 "walking_downstairs" -0.0633883264400636 -0.295167216690606
12 "walking_upstairs" -0.213995345759266 -0.494017099181002
13 "laying" -0.494984663416783 -0.967352157609971
13 "sitting" -0.498864171673993 -0.971614675209029
13 "standing" -0.511294929068831 -0.973488324742158
13 "walking" -0.0996192234656832 -0.322358364868426
13 "walking_downstairs" -0.0582178556565087 -0.283386205699099
13 "walking_upstairs" -0.206510439531774 -0.454771797975796
14 "laying" -0.478718255922756 -0.934842463238265
14 "sitting" -0.500429006908068 -0.960128611305275
14 "standing" -0.511858205016753 -0.955643634646465
14 "walking" -0.177740629970004 -0.39895837100264
14 "walking_downstairs" 0.0520165644020808 -0.0451783638523098
